course_number,instructor_name
397-0-8,Zach Wise
410-0,Michael Rubenstein
416-0,Han Liu
424-0,Christos Dimoulas
432-0,Jason D. Hartline
433-0,Branden Ghena
446-0,Peter A. Dinda
449-0,David Demeter
472-0,Uriel J. Wilensky
496-0-2,Karan Ahuja
496-0-7,Nivedita Arora
496-0-8,Ian D. Horswill
496-0-9,Marcelo A. Worsley
496-0-10,Alok N. Choudhary
496-0-11,Connor Bain
496-0-13,Xinyu Xing
496-0-14,Emma B. Alexander
496-0-16,Oleg D. Evdokimov
496-0-17,Kenneth D. Forbus
496-0-18,Han Liu
496-0-19,Kaitlin N. Smith
496-0-20,Konstantin Makarychev
496-0-21,Manling Li
497-0-6,Marcelo A. Worsley
497-0-7,Aleksandar Kuzmanovic
497-0-8,Zach Wise
497-0-13,Andrew Crotty
497-0-14,Aravindan Vijayaraghavan
497-0-15,Stephan Moore
497-0-15,Bryan A. Pardo
320-0,Robert Findler
110-0,Michael S. Horn
111-0,Connor Bain
150-0,Dietrich Geisler
211-0,Joseph Hummel
212-0,Miklos Z. Racz
213-0,Peter A. Dinda
298-0,Sruti S. Bhagavatula
307-0,Xiao Wang
321-0,Christos Dimoulas
325-0,Christopher K. Riesbeck
329-0,Haoqi Zhang
330-0,Matthew J. Kay
332-0,Jason D. Hartline
337-0,Lawrence A. Birnbaum
339-0,Jennie M. Rogers
340-0,Esteban Carisimo
343-0,Branden Ghena
346-0,Branden Ghena
348-0,Lawrence A. Birnbaum
349-0,David Demeter
350-0,Xinyu Xing
376-0,Ian D. Horswill
392-0,Christopher K. Riesbeck
396-0-2,Robert Findler
396-0-3,Lydia Tse
396-0-6,Ian D. Horswill
396-0-7,Karan Ahuja
397-0-1,Zach Wise
401-0,Jessica R. Hullman
436-0,Konstantin Makarychev
437-0,Konstantin Makarychev
440-0,Fabian E. Bustamante
449-0,Zachary D. Wood-Doughty
462-0,Aravindan Vijayaraghavan
462-0,Kaitlin N. Smith
474-0,Zachary D. Wood-Doughty
496-0-2,Robert Findler
496-0-7,Karan Ahuja
496-0-9,Andrew Crotty
496-0-10,Bryan A. Pardo
496-0-11,V.S. Subrahmanian
496-0-14,Noshir Contractor
496-0-15,Samir Khuller
496-0-16,Eleanor M. O'Rourke
497-0-1,Zach Wise
497-0-3,Jason D. Hartline
308-0,Sruti S. Bhagavatula
353-0,Emma B. Alexander
362-0,Aravindan Vijayaraghavan
362-0,Kaitlin N. Smith
212-0,Eric M. Evert
322-0,Simone Campanoni
336-0,Konstantin Makarychev
351-1,John E. Tumblin
371-0,Kenneth D. Forbus
377-0,Robert Zubek
396-0-1,Samuel L. Kriegman
396-0-2,Aravindan Vijayaraghavan
396-0-4,Lydia Tse
396-0-5,Jennie M. Rogers
396-0-7,Michael S. Horn
396-0-7,Marcelo A. Worsley
396-0-8,Natalie Melo
396-0-9,Vincent St-Amour
396-0-10,Robert F. Voigt
396-0-11,Victoria C. Chavez
396-0-13,Lawrence A. Birnbaum
396-0-13,Jeremy D. Gilbert
397-0-2,Marcelo A. Worsley
397-0-3,Zach Wise
449-0,David Demeter
496-0-1,Samuel L. Kriegman
496-0-2,Aravindan Vijayaraghavan
496-0-5,Jennie M. Rogers
496-0-6,Xiao Wang
496-0-7,Michael S. Horn
496-0-7,Marcelo A. Worsley
496-0-8,Natalie Melo
496-0-11,Victoria C. Chavez
496-0-12,Bryan A. Pardo
496-0-13,Lawrence A. Birnbaum
496-0-13,Jeremy D. Gilbert
496-0-14,Uriel J. Wilensky
497-0-2,Marcelo A. Worsley
497-0-3,Zach Wise
