course_number,name,description,embeddings
101-0,"Computer Science: Concepts, Philosophy, and Connections","General introduction to historical and current intellectual questions in computer science. Theory, systems, artificial intelligence, interfaces, software development, and interactions with business, politics, law, medicine, engineering, and other sciences.","[-2.32358128e-02  1.17689604e-02 -3.70658413e-02 -6.63320720e-02
 -2.13832036e-02 -3.68571579e-02  2.72258297e-02  8.32790732e-02
 -8.52413103e-02  2.98902337e-02 -1.38277292e-01  9.31026321e-03
 -2.30358448e-02 -4.07448448e-02 -3.16139944e-02 -2.86371447e-02
 -6.45184889e-02 -1.37344733e-01  4.59090695e-02 -1.26338778e-02
  1.01973563e-02 -1.63403843e-02 -3.04060783e-02 -3.20437066e-02
 -5.77457882e-02  1.40138688e-02  1.16807580e-01 -6.45408779e-02
 -4.35030386e-02  3.24774496e-02 -8.21051151e-02  4.26753499e-02
  4.87874672e-02  5.21050692e-02 -1.82668166e-03 -9.27388296e-03
  2.87378598e-02  2.99451221e-02  1.10586686e-02  2.41123624e-02
 -2.89774854e-02  5.21898083e-03 -2.97720265e-02 -6.80769933e-03
  4.68709320e-02 -1.11236551e-03 -3.10647264e-02 -7.12263733e-02
 -1.05210636e-02 -1.93950739e-02 -1.22126535e-01 -1.53624527e-02
  2.37099221e-03  7.38819465e-02  4.21783421e-03 -4.34550121e-02
  9.38628912e-02 -2.39089616e-02 -3.24698128e-02 -5.26678283e-03
  8.79647117e-03 -8.09906721e-02  7.77526479e-03  2.91848499e-02
  7.78352423e-03  2.80664731e-02  6.05288818e-02  6.18079156e-02
  5.91007527e-04 -2.00782623e-02 -7.29442686e-02  6.38068318e-02
 -5.39779440e-02  6.29781112e-02 -1.12193637e-02 -2.80172415e-02
 -5.26691042e-02 -5.55463741e-03  3.76057811e-02 -6.31003678e-02
  2.43210495e-02 -3.40032484e-03 -5.47515452e-02  8.00210014e-02
 -6.35107309e-02  5.64028360e-02 -9.32724997e-02 -1.37830907e-02
 -1.27062260e-04 -3.43214124e-02  7.12814331e-02 -4.91211526e-02
  5.01688756e-02  3.58081795e-02  1.06966890e-01  8.98476690e-02
  4.20647301e-02 -9.99019742e-02  7.32501894e-02  3.70788164e-02
 -3.31498832e-02 -1.94606353e-02  4.04193699e-02  2.08071768e-02
 -2.16288446e-03  3.30695659e-02 -2.08327696e-02 -4.09560185e-03
  2.99611092e-02 -4.43530977e-02 -1.65643096e-02 -4.31329757e-02
  9.90411174e-03 -5.68313561e-02 -2.22217869e-02 -3.17071863e-02
  3.36140543e-02  1.00161813e-01  6.38246909e-03 -1.69057343e-02
 -2.46395245e-02  1.36080645e-02 -8.53199363e-02 -2.90684681e-02
  9.62513313e-03 -6.11559413e-02 -7.81751573e-02 -4.44722390e-33
 -3.80793251e-02 -2.93690506e-02 -1.95029695e-02  1.10347599e-01
 -3.95221561e-02 -1.34469708e-02  2.33269995e-03  2.28208868e-04
  9.97303799e-03 -3.58234867e-02  3.71629559e-02  6.27497062e-02
 -5.96883968e-02 -3.69466171e-02 -4.39132378e-03  1.02452971e-02
 -1.56465694e-02 -1.23731047e-02  5.56471758e-02 -6.97238892e-02
  1.29101919e-02  2.12090812e-03  2.56688297e-02 -3.04932222e-02
  6.56608269e-02  3.02087329e-02 -5.44146933e-02 -7.69824069e-03
  8.37750286e-02 -2.37462390e-02 -6.52123475e-03  9.95363109e-03
 -8.43437165e-02 -2.09804787e-03  8.16656947e-02  4.85552363e-02
  4.15983126e-02 -5.74807562e-02  4.97515500e-02 -6.22295626e-02
 -5.03592305e-02  7.38198757e-02 -3.58397444e-03 -5.38201407e-02
  4.84363623e-02 -5.18050715e-02  8.26627016e-02 -6.19366951e-02
  1.15722165e-01 -3.72990221e-02 -7.03259408e-02 -3.47910337e-02
  4.06808108e-02 -1.91447005e-04 -1.98709927e-02 -5.13726939e-03
 -7.06236362e-02 -6.62278309e-02 -3.66533361e-02  9.64863375e-02
  3.15161273e-02  5.49686737e-02  7.45755658e-02 -1.10986847e-02
 -3.56480852e-02  5.07437177e-02 -4.67673652e-02  3.69287916e-02
  1.36907930e-02  8.40553490e-04  5.50489966e-03  2.37089256e-03
 -1.34003097e-02 -5.58231883e-02 -3.23836021e-02  9.17856172e-02
 -3.97203006e-02 -3.99774574e-02  2.39848047e-02 -8.14433582e-03
 -1.42154694e-01  1.24808811e-02 -8.87044296e-02  3.75498459e-03
  3.44088860e-02  4.60107438e-02  1.29038710e-02  7.86942840e-02
  1.66885797e-02 -9.33228284e-02 -8.94489139e-02 -2.84250942e-03
  3.43427924e-03  1.69110112e-02  7.60657433e-03 -1.83606561e-33
 -1.72245707e-02 -4.43997532e-02 -9.14843902e-02  4.83230874e-02
  5.61236553e-02  1.65267307e-02 -3.88040990e-02 -1.52393430e-02
  4.80084307e-03 -2.34995410e-02  1.65444314e-02 -7.47888982e-02
  1.55516658e-02  4.56261337e-02 -3.17253452e-03 -6.40482735e-03
 -8.92534479e-02 -6.25793040e-02 -8.16280246e-02  6.66877627e-02
 -3.49356905e-02  2.89161373e-02 -7.30658546e-02 -8.82597640e-02
  8.28352869e-02  7.86575489e-03  2.34485455e-02 -3.29889059e-02
  4.87741636e-04  6.00830838e-02 -4.54242714e-02  5.48168086e-03
 -4.64555481e-03  9.91188884e-02 -6.51359186e-03  2.36159824e-02
  6.53951317e-02 -7.04193115e-02  8.23782533e-02 -5.12127876e-02
  8.57084915e-02 -1.53934462e-02  4.13744478e-03  1.26528954e-02
  2.10017432e-02 -2.74474919e-02 -1.13903426e-01  8.39556977e-02
  2.91397180e-02 -4.58292216e-02  6.08684309e-02 -3.19603719e-02
  9.88688320e-02 -9.90531296e-02  1.13814953e-03  9.83662009e-02
 -2.91181542e-03  2.74409503e-02  5.56648523e-02  1.15492344e-02
 -2.55035926e-02 -2.00094935e-02  3.02325692e-02  3.53510171e-04
 -8.85105953e-02 -9.66650434e-03  9.84595530e-03  4.17736173e-02
 -3.58087383e-02 -1.73030376e-01 -1.86871421e-02 -8.17128341e-04
 -5.34913540e-02  4.70485017e-02 -7.88798854e-02  5.16096912e-02
  1.57342143e-02 -2.57326141e-02 -3.58395763e-02 -2.96489540e-02
  4.23721857e-02  4.46540713e-02  1.33600188e-02  2.92861182e-02
 -6.27872720e-02  7.80015513e-02 -9.82929673e-03 -4.53042649e-02
  1.40791051e-02 -1.11179665e-01 -1.19539961e-01 -3.80126573e-02
 -1.83032434e-02 -1.12092970e-02 -9.29679051e-02 -3.85534058e-08
  4.34153597e-04  3.87673117e-02  6.26491159e-02  6.89593703e-02
  4.39164042e-02  4.09963839e-02 -4.38014530e-02 -3.83297093e-02
 -7.83490762e-02  4.68023634e-03  1.01683810e-02 -1.85765121e-02
  9.69766919e-03  6.44979700e-02  8.80191177e-02  3.15747634e-02
 -3.17052752e-02 -5.83945364e-02 -3.65247615e-02 -5.43565024e-03
  7.11320639e-02  6.31523645e-03  3.46821882e-02  8.34013149e-02
 -4.49856408e-02  5.53242043e-02 -3.75855453e-02 -3.00735813e-02
 -6.66098222e-02  6.94175735e-02  2.39295121e-02  6.20146915e-02
 -3.05805262e-02  1.96750667e-02  8.96885395e-02  1.10441493e-02
  4.72241268e-02 -2.07469035e-02 -1.68296807e-02 -6.64655715e-02
 -4.54913825e-02  5.36254607e-03 -4.11684774e-02  2.14916747e-03
  7.27375299e-02 -9.89449490e-03 -5.18277586e-02  5.37251271e-02
 -1.47851575e-02  6.56604022e-02 -2.83208042e-02  4.83983336e-03
  2.75636129e-02  4.68602069e-02  4.97955568e-02  4.07521054e-02
  2.07155477e-03  2.56607682e-02 -9.51700360e-02  6.64522275e-02
  7.95700848e-02  2.84453183e-02 -1.18242446e-02  3.57301906e-02]"
110-0,Introduction to Computer Programming,"Introduction to programming practice using a modern programming language. Analysis and formulation of problems for computer solution. Systematic design, construction, and testing of programs. Substantial programming assignments. Not to be taken for credit with or afterCOMP_SCI 111-0.","[-6.23052493e-02  6.57830611e-02 -5.78475259e-02 -4.96525876e-02
 -1.13080800e-01 -9.43101570e-02  1.12492796e-02  8.98279771e-02
 -1.82569921e-01  3.69285122e-02 -6.38885275e-02 -1.37222698e-02
  1.07826374e-01 -2.62965932e-02  1.67338382e-02 -8.42582528e-03
 -5.54995388e-02 -6.65779188e-02  7.57350475e-02  7.01069739e-03
 -4.89177592e-02 -1.86363123e-02 -4.78802286e-02 -1.26093943e-02
  4.85002287e-02 -1.64705403e-02  3.12021710e-02 -2.24410444e-02
  4.88680415e-02  3.20897736e-02 -2.21549049e-02  8.51303861e-02
  7.05669299e-02  5.15968576e-02  6.71234429e-02  7.48808831e-02
 -1.73465777e-02 -2.66861655e-02 -4.79148626e-02  4.42713276e-02
 -1.38699055e-01  6.29343241e-02 -7.33354781e-03 -3.39948237e-02
  2.05300283e-02 -8.41940008e-03 -3.81403863e-02 -1.52521674e-02
 -4.07882743e-02 -6.69552311e-02 -1.28706560e-01 -4.92023230e-02
 -5.99671097e-04 -7.23896772e-02 -3.21878046e-02 -3.63149382e-02
  1.41922385e-01 -5.81890233e-02 -1.14115905e-02 -8.40434283e-02
 -1.70570575e-02 -7.39801954e-03 -6.01301156e-02  3.35123986e-02
 -2.53869547e-03  3.07441652e-02 -3.16704158e-04  8.01015943e-02
  8.12514499e-02  1.55532304e-02 -1.65074930e-01  6.47020191e-02
 -9.16618481e-02  1.38615534e-01  2.34525762e-02 -1.56753976e-02
  8.41108151e-03  1.92417167e-02  2.88572628e-02 -3.26632112e-02
 -4.40469524e-03  1.86214224e-02 -4.44436036e-02  5.69495261e-02
 -4.10566153e-03 -2.04819255e-02 -2.36936603e-02  7.58100078e-02
  6.96247071e-02  2.80446596e-02  1.39333755e-02 -2.11061537e-02
  2.05367710e-02  1.53302606e-02  4.95268740e-02  3.82530168e-02
  7.35850558e-02 -6.84766099e-02  3.27074900e-02  4.02914360e-02
 -3.63523252e-02  5.62998373e-03  3.15650962e-02 -8.45448375e-02
 -5.78119531e-02 -6.22237623e-02  1.56103708e-02 -3.85751799e-02
  8.09125751e-02 -5.65600134e-02  1.38718896e-02 -4.99984398e-02
 -5.52589707e-02 -8.24195221e-02 -3.61956209e-02  3.12796757e-02
  4.43590917e-02  3.99525166e-02  2.16676891e-02  5.50973192e-02
  2.09859498e-02  1.10807465e-02 -3.97988819e-02  2.28670845e-03
  3.51865999e-02  2.82129962e-02 -2.75005326e-02 -2.59827322e-33
 -1.06704265e-01 -2.81569976e-02 -4.97770384e-02  5.95356263e-02
  5.35784699e-02 -1.05326110e-02  5.84937669e-02  8.52600485e-02
 -9.57138389e-02 -1.35804638e-02  7.64681771e-02  4.57687629e-03
 -1.75183769e-02  4.57879007e-02  7.50693679e-02 -1.01370938e-01
  1.01995263e-02  7.15253502e-02 -9.75487102e-03 -7.29681775e-02
  1.07358750e-02 -1.00448141e-02  7.82574713e-02 -3.29150781e-02
  2.16990430e-02  5.63897714e-02  3.00723109e-02  1.11627078e-03
  3.65211703e-02 -2.22590901e-02  7.34380400e-03 -3.01535446e-02
 -4.59451191e-02  7.81719312e-02  5.74413389e-02  4.84813564e-02
  3.73814367e-02 -2.96975896e-02  1.03977583e-01 -2.52397987e-03
 -4.17814963e-02  6.98637962e-03  4.25525941e-02 -1.59473885e-02
  5.21602556e-02 -9.69042163e-03  1.69432424e-02  4.29438949e-02
  2.79526543e-02 -1.20540634e-02 -3.53400037e-02  2.61034239e-02
  5.57179237e-03  1.63024329e-02 -3.88368405e-02  9.87526029e-03
 -1.21175656e-02 -2.21091267e-02 -5.35622835e-02  5.58486953e-02
 -4.03551944e-03  3.03888563e-02  5.91050424e-02  6.89263409e-03
 -3.44462916e-02 -4.31555277e-03 -3.05097625e-02 -1.29953763e-02
  9.99096856e-02  4.67848890e-02 -3.07981744e-02  1.20288758e-02
 -5.87673113e-02  1.25272805e-02 -2.22827438e-02 -4.06890139e-02
  3.15461718e-02 -1.75736174e-02  3.18038627e-03  1.50650798e-03
 -3.65925916e-02  5.30291684e-02 -7.05655385e-03 -6.31662533e-02
  2.42933370e-02  5.68479020e-03  3.85415144e-02  2.75344234e-02
 -2.19618063e-02 -9.30881277e-02  5.34104072e-02 -2.44380906e-02
 -1.44756224e-03  3.07379216e-02  6.30189404e-02 -2.04856339e-33
 -2.97089145e-02  7.28732422e-02 -5.72175495e-02  2.95190187e-03
  2.78497264e-02 -1.34458449e-02  2.19664536e-02 -1.38761550e-01
  1.38987089e-02  2.63986327e-02  6.89394725e-03 -3.18353809e-02
  9.95635614e-03  7.42505714e-02  2.90470254e-02 -3.40785198e-02
 -8.77068564e-02 -4.54190038e-02 -6.81488961e-02  4.10008468e-02
 -7.00241886e-03  5.22010103e-02 -2.92555969e-02 -2.69121528e-02
  4.26926874e-02 -5.70423529e-02 -3.67237218e-02  5.20355476e-04
  2.33428902e-03  2.65347632e-03  2.98968311e-02  4.59716208e-02
 -4.49034013e-02  1.18415132e-02  3.64248045e-02 -6.27529994e-02
  5.33325188e-02  4.21567410e-02  2.80703995e-02  7.27284774e-02
  1.33867428e-01 -4.34151366e-02 -2.08346453e-02  7.08680674e-02
  2.62525585e-03  3.75275649e-02 -3.27054597e-02 -1.12764891e-02
  2.90398244e-02 -4.78713810e-02 -1.06056165e-02 -8.77513587e-02
  7.01654926e-02 -1.98940821e-02  3.80758196e-02  3.30501585e-03
  5.15209101e-02 -1.00114578e-02 -4.13377695e-02 -1.95400491e-02
 -2.14463193e-02 -5.18489964e-02  1.06234036e-01  9.10924654e-03
 -2.30063647e-02 -3.24917934e-03 -3.60373668e-02 -3.52951959e-02
 -9.23809856e-02 -3.71179059e-02 -1.54886674e-02  2.79943533e-02
 -7.01103136e-02  8.43551569e-03 -8.55855420e-02  1.13161400e-01
 -3.63372825e-02  5.24659529e-02 -2.15094406e-02  2.90843621e-02
  2.27578208e-02  4.44439845e-03  1.49971060e-02  7.70293251e-02
 -9.76957530e-02 -2.43402980e-02  4.46300283e-02  2.92448159e-02
 -2.99677644e-02 -1.35664865e-02 -9.78438333e-02  7.90527239e-02
  9.86332893e-02 -3.48898992e-02 -5.97729981e-02 -3.80406568e-08
 -3.02596595e-02 -8.68694186e-02  1.65854935e-02  4.95642656e-03
 -1.12631368e-02  1.02042459e-01 -5.03321514e-02 -7.27406144e-02
 -1.40605718e-01 -3.01611666e-02 -2.61651166e-03  2.18410399e-02
 -3.23706726e-03  3.01234461e-02 -2.76971627e-02 -1.94229186e-02
  1.37227669e-03 -1.51741644e-02 -5.93490675e-02 -4.47187922e-04
 -5.43977180e-03  1.84566472e-02 -1.81845855e-02  5.65308742e-02
 -3.56936343e-02 -1.85817257e-02  4.72666696e-02  7.39107281e-02
  1.06589131e-01 -1.96770672e-02  3.65870222e-02 -1.07480641e-02
  3.37017365e-02  9.63658560e-03  9.46822483e-03 -8.53330176e-03
  5.04526980e-02  3.17027569e-02 -2.55795959e-02 -5.58258072e-02
 -3.34903523e-02 -7.42593873e-03 -1.48665607e-02 -8.13130476e-03
  2.98361592e-02  1.93711929e-02 -4.37305942e-02  2.18856963e-03
 -4.11256105e-02 -6.56670779e-02 -7.78836906e-02  3.04722339e-02
 -4.51335758e-02  3.81678306e-02  2.01838315e-02  6.51475042e-02
 -9.23514515e-02 -3.51856016e-02 -4.09729732e-03  6.68122843e-02
 -6.73712865e-02  9.04585198e-02 -3.30736190e-02  9.54920426e-03]"
111-0,Fundamentals of Computer Programming,"Fundamental concepts of computer programming with heavy emphasis on design of recursive algorithms and test-driven development. Functional, imperative, and object-oriented programming paradigms. Procedural abstraction, data abstraction, and modularity. Required for the computer science degree.","[-5.39485924e-02  2.58958135e-02 -7.41562843e-02 -3.79711166e-02
 -1.06509961e-01 -1.30366012e-01  5.86755574e-02  4.55637537e-02
 -7.50135109e-02  4.60191034e-02 -9.78937298e-02 -2.54000016e-02
  3.74178812e-02 -3.90397012e-02  4.26563211e-02 -2.51224004e-02
 -6.81386050e-03 -3.90549675e-02  6.35026395e-02 -4.37262915e-02
  6.15129573e-03 -1.42161380e-02 -8.42140466e-02 -3.45384963e-02
 -1.85365584e-02  4.66219187e-02  6.51448593e-02 -3.82418893e-02
  1.62841901e-02  4.63260245e-03  9.10397898e-03  1.78946592e-02
  7.24626780e-02  7.71094710e-02  1.77870831e-03  5.09983897e-02
  6.85442090e-02 -6.02049604e-02 -5.50132431e-02  5.70460223e-02
 -1.21179253e-01  1.05546840e-01  4.35200101e-03 -4.59773466e-02
  4.59212102e-02  1.37778688e-02 -5.68476282e-02 -3.86406705e-02
 -3.26618850e-02 -2.71323845e-02 -8.27589780e-02 -3.32158320e-02
 -5.57945110e-02 -1.77651811e-02 -1.15309563e-02  3.35048698e-02
  1.63058251e-01 -2.65401858e-03 -2.21085697e-02 -5.97070269e-02
 -5.78596480e-02 -4.01899181e-02 -2.26618489e-03 -1.42047098e-02
  6.48573413e-02 -1.54368859e-02 -2.10920963e-02 -3.13821994e-02
  8.62101316e-02 -3.28266323e-02 -9.02172327e-02  5.56760058e-02
 -4.95751835e-02  5.97496331e-02 -7.63916969e-03 -2.18409728e-02
  9.03876848e-04  2.21001953e-02  3.65975429e-03 -2.57443544e-02
 -3.65044661e-02  6.55841976e-02 -3.26938368e-02  5.01433052e-02
 -3.21158511e-03 -1.67262759e-02  7.61785265e-03  3.91298309e-02
  4.01455723e-02  6.28949236e-03  5.66892587e-02 -2.08676197e-02
  3.45859788e-02  3.97870727e-02  8.42257123e-03  5.62671907e-02
 -4.95362189e-03 -1.02973849e-01  4.08367291e-02 -2.30713729e-02
 -1.12385668e-01  3.33758220e-02  3.58081609e-02 -1.03453293e-01
 -3.84920388e-02 -7.35329045e-03  2.41995603e-02 -1.19928960e-02
  3.89577076e-02 -7.31474385e-02 -6.36474192e-02  7.11841276e-03
  2.16453969e-02 -8.62644985e-02 -3.99399363e-02  3.63088325e-02
 -4.13869992e-02  3.34987156e-02  7.52221746e-03  4.74690236e-02
  4.15489040e-02  1.38378982e-02 -5.86514659e-02  6.61395676e-03
  4.25742045e-02 -7.07533956e-02 -7.56947547e-02 -2.90973092e-33
 -9.53515694e-02 -2.39672065e-02 -3.41121815e-02  1.12197660e-01
  1.10892341e-01 -4.49477173e-02  1.02708042e-01  3.66725773e-02
 -3.75980921e-02  4.14644852e-02 -2.17133071e-02  4.46295887e-02
 -3.21549140e-02  3.93148027e-02  1.03243276e-01 -1.55273657e-02
  4.60864641e-02 -5.81140351e-03 -3.51756066e-02 -4.41638753e-02
  7.33273849e-02  1.85807813e-02  7.14267269e-02 -8.48182142e-02
  7.47656897e-02  4.54888605e-02 -6.04075799e-03  6.40678336e-04
  4.45582047e-02 -1.87978777e-03 -1.60714108e-02  5.18677272e-02
 -9.86546203e-02  5.92852794e-02  4.86877151e-02  7.67145120e-03
 -7.98388757e-03 -3.57510638e-03  3.27858403e-02 -9.48398001e-03
 -6.02175668e-02  6.80514204e-04 -3.23492102e-02 -2.66063772e-02
  4.26873118e-02 -5.92134483e-02 -1.62188965e-03  1.31797073e-02
  8.88991803e-02  4.32816707e-03  1.63764954e-02  1.46670043e-02
  6.61987364e-02  9.55797173e-03 -4.79694270e-02  3.40684056e-02
 -5.76909892e-02 -3.10052969e-02 -6.86404184e-02  6.99549764e-02
  3.09042204e-02  4.07520653e-04  2.06020437e-02 -4.53936048e-02
 -6.54979125e-02 -4.81096245e-02  8.72028642e-04  1.28389029e-02
  1.12394355e-01  3.38314772e-02  6.84846658e-04  3.80141214e-02
 -2.35463511e-02 -4.39828187e-02 -6.01154789e-02 -4.53146957e-02
  3.23478319e-02 -6.90463483e-02 -6.85695931e-03  4.05791923e-02
 -7.91815519e-02  6.20838068e-02  3.15688215e-02 -3.13010775e-02
  6.04820997e-02 -5.25076501e-02 -8.33064876e-03  6.82785138e-02
 -1.68842319e-02 -1.32125750e-01 -3.99775654e-02 -1.59532968e-02
  2.05632243e-02 -1.84298847e-02  4.03666981e-02 -1.27742009e-33
 -1.23307509e-02  6.26367554e-02 -8.45683664e-02  2.75832806e-02
  4.56719436e-02 -1.77806187e-02  9.53941327e-03 -8.48371014e-02
 -5.78904450e-02  7.21791610e-02 -5.19929864e-02 -5.58817424e-02
  2.38683596e-02  8.30745995e-02  1.49245402e-02  8.94808490e-03
 -9.31550339e-02 -5.25301397e-02 -6.57983422e-02  3.33227916e-03
 -1.47613343e-02  6.41099066e-02 -5.79611994e-02 -5.88113554e-02
  6.23959079e-02 -5.48224524e-02 -6.04660064e-02 -4.92465869e-03
  5.74857630e-02  1.01894356e-01  4.04708582e-04  4.75779884e-02
 -2.28486825e-02  4.70067002e-02  5.93388155e-02 -6.98213577e-02
  2.54721940e-02  5.10339951e-03  3.50688286e-02  4.77297194e-02
  1.05124034e-01 -3.65061536e-02  3.52813676e-02  5.35461865e-03
  5.90676218e-02 -2.14051474e-02  5.84717549e-04  8.27457979e-02
  1.78096332e-02 -5.66680320e-02  8.84899646e-02 -2.80444790e-02
  4.85035405e-02  4.51039476e-03  2.79544704e-02  2.45088097e-02
  1.69147458e-02 -4.08739969e-02  6.64764568e-02  2.82136109e-02
 -3.70207205e-02 -6.99329972e-02  1.07920885e-01  2.53086872e-02
 -6.23423345e-02  1.63905807e-02 -3.82188298e-02 -4.34386022e-02
 -3.96984331e-02 -8.68803114e-02 -3.05677727e-02  8.26274306e-02
 -4.98165525e-02  4.25381251e-02 -8.34041387e-02 -1.42651824e-02
 -4.78911847e-02  3.84668112e-02 -1.52064525e-02  4.93817516e-02
  6.72297999e-02 -3.06193880e-03 -5.10054678e-02  6.81813061e-02
 -4.99577112e-02  1.48485238e-02 -5.24862530e-03 -3.99820209e-02
 -1.37243979e-02 -4.21993621e-02 -5.49722984e-02  4.49544042e-02
  4.44287769e-02  6.43638000e-02 -4.69207577e-02 -3.37512880e-08
 -2.56485175e-02 -7.78223127e-02 -1.17145339e-02  4.42118421e-02
  3.52522172e-02  9.62631702e-02 -9.26682819e-03 -5.49078211e-02
 -1.00185603e-01 -3.53353061e-02 -2.43431497e-02 -1.13795297e-02
  2.23455522e-02  3.41900066e-02  6.93776533e-02  2.25281119e-02
  4.31706235e-02 -8.00836682e-02 -8.10751598e-03  3.31438854e-02
  6.40334859e-02 -1.28322961e-02 -1.35045629e-02  1.06923386e-01
 -2.72613764e-02 -6.64790273e-02  3.26395109e-02  2.26340163e-02
  3.50902532e-03  8.13100785e-02  4.62783724e-02  2.06937618e-03
 -1.28340330e-02  2.75002941e-02  5.74248936e-03  2.48103552e-02
  1.13480099e-01  4.77755144e-02 -3.85461599e-02 -4.76650670e-02
 -3.89336348e-02  2.03917008e-02  1.42780617e-02  5.19366143e-03
  6.63413554e-02 -4.33696806e-03 -6.52580410e-02 -2.80672163e-02
 -4.23276983e-02 -1.85970776e-02 -7.77884126e-02  2.55588107e-02
 -6.04878217e-02 -4.81164223e-03 -1.77001227e-02  5.72583638e-02
 -3.72485816e-02 -4.68866937e-02 -1.01538412e-02  7.01000690e-02
 -4.61596157e-03  1.02490112e-01  2.41659321e-02 -2.29336061e-02]"
