course_number,instructor_name
396-0-7,Marcelo Aaron Bonilla Worsley
396-0-8,Natalie Melo
396-0-9,Vincent St-Amour
396-0-10,Robert Frederick Voigt
396-0-11,Victoria C Chavez
396-0-13,Lawrence A Birnbaum
396-0-13,Jeremy D Gilbert
397-0-2,Marcelo Aaron Bonilla Worsley
397-0-3,Zach Wise
449-0,David William Demeter
496-0-1,Samuel Leviton Kriegman
496-0-2,Aravindan Vijayaraghavan
496-0-5,Jennie M Rogers
496-0-6,Xiao Wang
496-0-7,Michael Stephen Horn
496-0-7,Marcelo Aaron Bonilla Worsley
496-0-8,Natalie Melo
496-0-11,Victoria C Chavez
496-0-12,Bryan A. Pardo
496-0-13,Lawrence A Birnbaum
496-0-13,Jeremy D Gilbert
496-0-14,Uriel J Wilensky
497-0-2,Marcelo Aaron Bonilla Worsley
497-0-3,Zach Wise
212-0,Jinshuo Dong
213-0,Nikolaos Hardavellas
260-0,Daniel Waino Linna
260-0,John David Villasenor
295-0,Ian D Horswill
296-0,Venkatramanan Siva Subrahmanian
311-0,Marcelo Aaron Bonilla Worsley
312-0,Sruti Sakuntala Bhagavatula
313-0,Michael Stephen Horn
326-0,Joshua Harry Perry
345-0,Fabian E Bustamante
347-0,Kenneth D Forbus
349-0,Peng Kang
372-0,Uriel J Wilensky
394-0,Todd M Warren
396-0-1,Zachary David Wood-Doughty
396-0-2,Emma Bertat Alexander
396-0-3,Connor Patrick Bain
396-0-4,Jinshuo Dong
396-0-5,Sruti Sakuntala Bhagavatula
396-0-8,Ian D Horswill
396-0-9,Robert Findler
396-0-10,Lydia Tse
396-0-18,Lawrence A Birnbaum
396-0-18,Jeremy D Gilbert
396-0-19,Alok Nidhi Choudhary
396-0-20,Nivedita Arora
396-0-21,Natalie Melo
397-0-7,Branden Robert Ghena
397-0-9,Marcelo Aaron Bonilla Worsley
397-0-10,Simone Campanoni
397-0-11,Aleksandar Kuzmanovic
397-0-12,Nabil Iyad Alshurafa
413-0,Michael Stephen Horn
447-0,Kenneth D Forbus
460-0,Daniel Waino Linna
460-0,John David Villasenor
472-0,Uriel J Wilensky
496-0-6,Eric Michael Evert
496-0-7,Konstantin Makarychev
496-0-8,Ian D Horswill
496-0-9,Robert Findler
496-0-11,Han Liu
496-0-12,Han Liu
496-0-14,Xiao Wang
496-0-15,Kaitlin Nicole Smith
496-0-16,Andrew James Crotty
496-0-18,Lawrence A Birnbaum
496-0-18,Jeremy D Gilbert
496-0-19,Alok Nidhi Choudhary
496-0-20,Nivedita Arora
496-0-21,Natalie Melo
496-0-22,Oleg Duka Evdokimov
497-0-6,David William Demeter
497-0-7,Branden Robert Ghena
497-0-9,Marcelo Aaron Bonilla Worsley
497-0-10,Simone Campanoni
497-0-11,Aleksandar Kuzmanovic
497-0-12,Nabil Iyad Alshurafa
110-0,Michail Mamakos
111-0,Maryam Hedayati
330-0,Alexandros Nikolaos Lotsos
330-0,Amartya Banerjee
331-0,Florian Andreas Schiffers
350-0,Mohammad Kavousi
396-0-1,Victoria C Chavez
396-0-2,Victoria C Chavez
397-0-1,Blaine Rothrock
497-0-1,Blaine Rothrock
326-0,Joshua D'Arcy
333-0,Abhraneel Sarma
336-0,Sanchit Kalhan
349-0,Mohammed Alam
368-0,Nikos Hardavellas
396-0-1,Victoria Concepción Chávez
396-0-2,Lily Ge
397-0-1,Yiji Zhang
150-0,Katherine E Compton
298-0,Joseph Edward Hummel
298-0,Maryam Hedayati
323-0,Simone Campanoni
327-0,Katherine E Compton
329-0,Maia Lee Jacobs
333-0,Jessica Ruth Hullman
335-0,Jinshuo Dong
396-0-1,Robert Findler
396-0-2,Xinyu Xing
396-0-3,Sruti Sakuntala Bhagavatula
396-0-4,Dmitrii Avdiukhin
409-0,Michael Rubenstein
469-0,Brenna Dee Argall
496-0-4,Dmitrii Avdiukhin
496-0-5,Aravindan Vijayaraghavan
496-0-6,Miklos Zoltan Racz
496-0-7,Emma Bertat Alexander
496-0-8,Noshir Contractor
496-0-9,Samir Khuller
496-0-10,Eleanor Mary O'Rourke
497-0-2,Andrew James Crotty
